Seconds,Volts,Amps
1836.708,4.06142606,0
1836.808,4.061433411,0
1836.908,4.061440655,0
1837.008,4.061447797,0
1837.108,4.061454838,0
1837.208,4.061461782,0
1837.308,4.06146863,0
1837.408,4.061475386,0
1837.508,4.061482052,0
1837.608,4.061488631,0
1837.708,4.061495122,0
1837.808,4.061501531,0
1837.908,4.06150786,0
1838.008,4.061514112,0
1838.108,4.061520289,0
1838.208,4.061526394,0
1838.308,4.061532429,0
1838.408,4.061538398,0
1838.508,4.061544302,0
1838.608,4.061550144,0
1838.708,4.061555928,0
1838.808,4.061561655,0
1838.908,4.061567328,0
1839.008,4.06157295,0
1839.108,4.061578463,0
1839.208,4.061583911,0
1839.308,4.061589301,0
1839.408,4.061594636,0
1839.508,4.061599916,0
1839.608,4.061605143,0
1839.708,4.061610319,0
1839.808,4.061615447,0
1839.908,4.061620527,0
1840.008,4.061625562,0
1840.009,4.060732596,-0.001890002
1845.009,4.059743911,-0.00189
1850.009,4.059398692,-0.00189
1855.009,4.05916543,-0.00189
1860.009,4.058981198,-0.00189
1865.009,4.058820312,-0.00189
1870.009,4.058671846,-0.00189
1875.009,4.058530659,-0.00189
1880.009,4.058393953,-0.00189
1885.009,4.058260372,-0.00189
1890.009,4.058128974,-0.00189
1895.009,4.057999157,-0.00189
1900.009,4.057870515,-0.00189
1905.009,4.057742693,-0.00189
1910.009,4.057615278,-0.00189
1915.009,4.057488237,-0.00189
1920.009,4.057361638,-0.00189
1925.009,4.057235393,-0.00189
1930.009,4.057109539,-0.00189
1935.009,4.056983911,-0.00189
1940.009,4.056858451,-0.00189
1945.009,4.056733217,-0.00189
1950.009,4.056608208,-0.00189
1955.009,4.056483427,-0.00189
1960.009,4.056358698,-0.00189
1965.009,4.056234102,-0.00189
1970.009,4.056109661,-0.00189
1975.009,4.055985376,-0.00189
1980.009,4.055861235,-0.00189
1985.009,4.055737049,-0.00189
1990.009,4.055612946,-0.00189
1995.009,4.055488928,-0.00189
2000.009,4.055364994,-0.00189
2005.009,4.055241117,-0.00189
2010.009,4.055117229,-0.00189
2015.009,4.054993386,-0.00189
2020.009,4.054869589,-0.00189
2025.009,4.054745837,-0.00189
2030.009,4.05462212,-0.00189
2035.009,4.054498424,-0.00189
2040.009,4.054374756,-0.00189
2045.009,4.054251115,-0.00189
2050.009,4.054127496,-0.00189
2055.009,4.054003897,-0.00189
2060.009,4.053880316,-0.00189
2065.009,4.05375675,-0.00189
2070.009,4.053633196,-0.00189
2075.009,4.053509651,-0.00189
2080.009,4.053386087,-0.00189
2085.009,4.053262527,-0.00189
2090.009,4.053138976,-0.00189
2095.009,4.053015433,-0.00189
2100.009,4.052891898,-0.00189
2105.009,4.052768372,-0.00189
2110.009,4.052644854,-0.00189
2115.009,4.052521345,-0.00189
2120.009,4.052397844,-0.00189
2125.009,4.052274359,-0.001889998
2130.009,4.052150895,-0.001889993
2135.009,4.052027431,-0.001889994
2140.009,4.051903967,-0.00189
2140.01,4.052798479,0
2140.11,4.052894454,0
2140.21,4.052957033,0
2140.31,4.05300737,0
2140.41,4.053050827,0
2140.51,4.05308977,0
2140.61,4.053125585,0
2140.71,4.053158837,0
2140.81,4.053189819,0
2140.91,4.053218834,0
2141.01,4.053246176,0
2141.11,4.053272134,0
2141.21,4.053296942,0
2141.31,4.053320527,0
2141.41,4.053343113,0
2141.51,4.053364839,0
2141.61,4.053385882,0
2141.71,4.053406513,0
2141.81,4.053426489,0
2141.91,4.05344581,0
2142.01,4.053464481,0
2142.11,4.053482703,0
2142.21,4.053500353,0
2142.31,4.053517429,0
2142.41,4.053533932,0
2142.51,4.053550294,0
2142.61,4.05356629,0
2142.71,4.053581895,0
2142.81,4.053597111,0
2142.91,4.053611937,0
2143.01,4.053626373,0
2143.11,4.053640419,0
2143.21,4.053654075,0
2143.31,4.053667576,0
2143.41,4.05368083,0
2143.51,4.053693764,0
2143.61,4.053706379,0
2143.71,4.053718675,0
2143.81,4.053730652,0
2143.91,4.053742309,0
2144.01,4.053753828,0
2144.11,4.05376527,0
2144.21,4.053776484,0
2144.31,4.053787469,0
2144.41,4.053798227,0
2144.51,4.053808757,0
2144.61,4.053819059,0
2144.71,4.053829186,0
2144.81,4.053839254,0
2144.91,4.053849143,0
2145.01,4.053858856,0
2145.11,4.05386839,0
2145.21,4.053877747,0
2145.31,4.053886926,0
2145.41,4.053895934,0
2145.51,4.053904903,0
2145.61,4.053913729,0
2145.71,4.053922413,0
2145.81,4.053930954,0
2145.91,4.053939352,0
2146.01,4.053947608,0
2146.11,4.053955721,0
2146.21,4.053963735,0
2146.31,4.053971636,0
2146.41,4.053979418,0
2146.51,4.053987085,0
2146.61,4.053994637,0
2146.71,4.054002079,0
2146.81,4.054009413,0
2146.91,4.054016641,0
2147.01,4.054023767,0
2147.11,4.054030792,0
2147.21,4.05403772,0
2147.31,4.054044552,0
2147.41,4.054051293,0
2147.51,4.054057944,0
2147.61,4.054064506,0
2147.71,4.054070983,0
2147.81,4.054077376,0
2147.91,4.05408369,0
2148.01,4.054089927,0
2148.11,4.05409609,0
2148.21,4.05410218,0
2148.31,4.054108201,0
2148.41,4.054114155,0
2148.51,4.054120045,0
2148.61,4.054125873,0
2148.71,4.054131643,0
2148.81,4.054137356,0
2148.91,4.054143015,0
2149.01,4.054148623,0
2149.11,4.054154123,0
2149.21,4.054159558,0
2149.31,4.054164934,0
2149.41,4.054170255,0
2149.51,4.054175522,0
2149.61,4.054180736,0
2149.71,4.0541859,0
2149.81,4.054191014,0
2149.91,4.054196081,0
2150.01,4.054201103,0
2150.011,4.053305944,-0.001890002
2155.011,4.052319403,-0.00189
2160.011,4.05197518,-0.00189
2165.011,4.051742756,-0.00189
2170.011,4.051559288,-0.00189
2175.011,4.051399122,-0.00189
2180.011,4.051251344,-0.00189
2185.011,4.051110827,-0.00189
2190.011,4.050974777,-0.00189
2195.011,4.050841842,-0.00189
2200.011,4.050711083,-0.00189
2205.011,4.050581899,-0.00189
2210.011,4.050453886,-0.00189
2215.011,4.05032669,-0.00189
2220.011,4.050199898,-0.00189
2225.011,4.050073481,-0.00189
2230.011,4.049947503,-0.00189
2235.011,4.049821877,-0.00189
2240.011,4.049696641,-0.00189
2245.011,4.049571631,-0.00189
2250.011,4.049446787,-0.00189
2255.011,4.049322169,-0.00189
2260.011,4.049197777,-0.00189
2265.011,4.04907361,-0.00189
2270.011,4.048949497,-0.00189
2275.011,4.048825515,-0.00189
2280.011,4.048701688,-0.00189
2285.011,4.048578016,-0.00189
2290.011,4.048454489,-0.00189
2295.011,4.048330916,-0.00189
2300.011,4.048207428,-0.00189
2305.011,4.048084023,-0.00189
2310.011,4.047960702,-0.00189
2315.011,4.047837439,-0.00189
2320.011,4.047714165,-0.00189
2325.011,4.047590936,-0.00189
2330.011,4.047467752,-0.00189
2335.011,4.047344615,-0.00189
2340.011,4.047221511,-0.00189
2345.011,4.04709843,-0.00189
2350.011,4.046975377,-0.00189
2355.011,4.046852349,-0.00189
2360.011,4.046729345,-0.00189
2365.011,4.046606362,-0.00189
2370.011,4.046483396,-0.00189
2375.011,4.046360445,-0.00189
2380.011,4.046237507,-0.00189
2385.011,4.046114578,-0.00189
2390.011,4.04599163,-0.00189
2395.011,4.045868687,-0.00189
2400.011,4.045745752,-0.00189
2405.011,4.045622826,-0.00189
2410.011,4.045499909,-0.00189
2415.011,4.045377,-0.00189
2420.011,4.045254101,-0.00189
2425.011,4.045131209,-0.00189
2430.011,4.045008327,-0.00189
